year	reader_i	reader_j	dyad	trt_i	trt_j	birds_i	birds_j	dist_ij	pfor_ij	count	active_days
2015	LOM_W	LOM_NE	LOM_NE-LOM_W	forest	connected	0	0	0.526824448939113	0.402777777777778	0	64
2015	LOM_W	LOM_SE	LOM_SE-LOM_W	forest	isolated	0	0	0.42850904307844	0.76	0	64
2015	LOM_W	M1_C	LOM_W-M1_C	forest	center	0	5	3.8719364664209	0.796190476190476	0	64
2015	LOM_W	M1_E	LOM_W-M1_E	forest	isolated	0	4	3.780001190476	0.859615384615385	0	64
2015	LOM_W	M1_NE	LOM_W-M1_NE	forest	forest	0	0	4.11494155487049	0.792114695340502	0	64
2015	LOM_W	M1_NW	LOM_W-M1_NW	forest	connected	0	1	4.01883776731532	0.753271028037383	0	64
2015	LOM_W	M1_S	LOM_W-M1_S	forest	connected	0	1	3.69387668987474	0.856565656565657	0	64
2015	LOM_W	M2_C	LOM_W-M2_C	forest	center	0	6	4.77932683544451	0.822485207100592	0	64
2015	LOM_W	M2_E	LOM_W-M2_E	forest	connected	0	1	4.64756118840839	0.765873015873016	0	64
2015	LOM_W	M2_N	LOM_W-M2_N	forest	connected	0	6	5.01087816654925	0.790262172284644	0	64
2015	LOM_W	M2_S	LOM_W-M2_S	forest	forest	0	0	4.53328247520491	0.862869198312236	0	64
2015	LOM_W	M2_W	LOM_W-M2_W	forest	isolated	0	1	4.90510264928268	0.876739562624254	0	64
2015	M1_C	LOM_C	LOM_C-M1_C	center	center	5	0	3.65878190112502	0.787321063394683	0	64
2015	M1_C	LOM_N	LOM_N-M1_C	center	forest	5	0	3.44604265789035	0.783261802575107	0	64
2015	M1_C	LOM_NE	LOM_NE-M1_C	center	connected	5	0	3.45585011249041	0.885462555066079	0	64
2015	M1_C	LOM_SE	LOM_SE-M1_C	center	isolated	5	0	3.75107238000015	0.909836065573771	0	64
2015	M1_C	LOM_W	LOM_W-M1_C	center	forest	5	0	3.8719364664209	0.796190476190476	0	64
2015	M1_C	M1_E	M1_C-M1_E	center	isolated	5	4	0.234616708697399	0.147058823529412	0	64
2015	M1_C	M1_NE	M1_C-M1_NE	center	forest	5	0	0.244073759343359	0.823529411764706	0	64
